Table_Name,ObjectID,NumOID,ImportID,ModelID,Num_ModelID,Structured_Type_ID,Num_Structured_Type_ID,Structured_Type_Name,Number_Data_Elements,Classification_Type,Allow_Type_Substitution,Min_Volume,Expected_Volume,Max_Volume,Growth_Rate_Percents,Growth_Rate_Interval,Normal_Form,Temporary_Object_Scope,Adequately_Normalized,Substitution_Parent,Num_Substitution_Parent,Engineer,Spatial_Table,OID_is_PK,OID_is_User_Defined,Include_Scripts_Into_DDL
"Carro",0111310C-88AB-D611-0FCE-1C65F0AB24B5,71,,515EBCE2-794F-9014-01BB-250EE78140AB,70,,,,5,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Cliente",4A969A4F-6BC3-2571-B343-080C7636608D,72,,515EBCE2-794F-9014-01BB-250EE78140AB,70,,,,5,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Forncecimento",9705F61E-48B5-B47B-0583-976384226EB5,73,,515EBCE2-794F-9014-01BB-250EE78140AB,70,,,,5,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Forncedor",FA0B8CA5-C8A8-9312-E928-B2D533FD6A68,74,,515EBCE2-794F-9014-01BB-250EE78140AB,70,,,,5,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Localidade",6231EC3C-5E26-40C2-DD23-067C2C4FEC58,75,,515EBCE2-794F-9014-01BB-250EE78140AB,70,,,,4,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Peças",4EDE6BE8-06ED-D16E-E4F7-3C626A233D5A,76,,515EBCE2-794F-9014-01BB-250EE78140AB,70,,,,5,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Venda",88A9691C-B158-C6C2-00FB-3322ED316E0F,77,,515EBCE2-794F-9014-01BB-250EE78140AB,70,,,,6,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Vendedor",9DE603ED-0764-A57D-1E2B-0E1A5D16E097,78,,515EBCE2-794F-9014-01BB-250EE78140AB,70,,,,2,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
