FK_Name,ModelID,Num_ModelID,ObjectID,NumOID,ImportID,Child_Table_Name,Referred_Table_Name,Engineer,Delete_Rule,Child_Table_ID,Num_Child_Table_ID,Referred_Table_ID,Num_Referred_Table_ID,Referred_Key_ID,Num_Referred_Key_ID,Number_Of_Columns
"Cliente_Localidade_FK",515EBCE2-794F-9014-01BB-250EE78140AB,70,610B162C-5716-DD21-3B1C-BA2B4EFA5C1E,132,,Cliente,Localidade,Y,NO ACTION,4A969A4F-6BC3-2571-B343-080C7636608D,72,6231EC3C-5E26-40C2-DD23-067C2C4FEC58,75,201E899B-782B-3058-555F-BC143B670E3A,120,1,
"Forncecimento_Carro_FK",515EBCE2-794F-9014-01BB-250EE78140AB,70,5846AD1B-2FE2-AA5B-2157-1FA96904E27D,133,,Forncecimento,Carro,Y,NO ACTION,9705F61E-48B5-B47B-0583-976384226EB5,73,0111310C-88AB-D611-0FCE-1C65F0AB24B5,71,357C1512-7F9B-54B1-1387-7E000C923A1C,116,1,
"Forncecimento_Forncedor_FK",515EBCE2-794F-9014-01BB-250EE78140AB,70,D656A7D0-28C0-B1CC-86B8-C1F5FA0D2801,134,,Forncecimento,Forncedor,Y,NO ACTION,9705F61E-48B5-B47B-0583-976384226EB5,73,FA0B8CA5-C8A8-9312-E928-B2D533FD6A68,74,45173A3C-4934-19F9-5832-04BEA17D9D38,131,1,
"Forncecimento_Peças_FK",515EBCE2-794F-9014-01BB-250EE78140AB,70,6AA684DE-B85A-081F-8C6A-AB4B6C125AB1,135,,Forncecimento,Peças,Y,NO ACTION,9705F61E-48B5-B47B-0583-976384226EB5,73,4EDE6BE8-06ED-D16E-E4F7-3C626A233D5A,76,65DD0C1C-C8F7-0922-BF16-F7334807159F,119,1,
"Venda_Carro_FK",515EBCE2-794F-9014-01BB-250EE78140AB,70,450652AF-48BE-8E12-6331-B863ED1AFEFA,136,,Venda,Carro,Y,NO ACTION,88A9691C-B158-C6C2-00FB-3322ED316E0F,77,0111310C-88AB-D611-0FCE-1C65F0AB24B5,71,357C1512-7F9B-54B1-1387-7E000C923A1C,116,1,
"Venda_Cliente_FK",515EBCE2-794F-9014-01BB-250EE78140AB,70,BE810DEE-0007-95F7-B802-FDE2A7B85385,137,,Venda,Cliente,Y,NO ACTION,88A9691C-B158-C6C2-00FB-3322ED316E0F,77,4A969A4F-6BC3-2571-B343-080C7636608D,72,66EDEF1A-68C3-1F0F-D714-4BF3DE2C2A7B,117,1,
"Venda_Peças_FK",515EBCE2-794F-9014-01BB-250EE78140AB,70,A18EDA37-4C40-969F-6D32-7E15DEF590A2,138,,Venda,Peças,Y,NO ACTION,88A9691C-B158-C6C2-00FB-3322ED316E0F,77,4EDE6BE8-06ED-D16E-E4F7-3C626A233D5A,76,65DD0C1C-C8F7-0922-BF16-F7334807159F,119,1,
"Venda_Vendedor_FK",515EBCE2-794F-9014-01BB-250EE78140AB,70,4A273EAF-5D68-CBA9-616D-BBDCC3028B69,139,,Venda,Vendedor,Y,NO ACTION,88A9691C-B158-C6C2-00FB-3322ED316E0F,77,9DE603ED-0764-A57D-1E2B-0E1A5D16E097,78,B2F87CD0-9FDA-4891-5E7F-651807F8B493,130,1,
