Column_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Computed,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Uses_Default,Engineer,Table_Name,PK_Flag,FK_Flag,Native_Type,Sequence,ModelID,Num_ModelID,Model_Name,T_Size,T_Precision,T_Scale
"Forncedor_Fornecedor_ID",F03B55BD-68BD-5695-548F-14403E9970B6,94,,9705F61E-48B5-B47B-0583-976384226EB5,73,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,N,Y,"Forncecimento",,F,NUMBER,3,515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",,10,,
"Fornecedor_ID",366447B2-90B6-4496-9A96-37E68064BD2A,95,,FA0B8CA5-C8A8-9312-E928-B2D533FD6A68,74,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,N,Y,"Forncedor",P,,NUMBER,1,515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",,10,,
"Idade_Cliente",2D9CEE5E-1470-FC15-6A30-18ED5600AE37,96,,4A969A4F-6BC3-2571-B343-080C7636608D,72,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,N,Y,"Cliente",,,NUMBER,3,515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",,2,,
"Localidade_ID",A5112313-56B8-2D66-2D8C-0BC8D30F9ED6,97,,6231EC3C-5E26-40C2-DD23-067C2C4FEC58,75,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,N,Y,"Localidade",P,,NUMBER,1,515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",,10,,
"Localidade_Localidade_ID",BC810474-1AEC-13FB-B4D8-8B887D57B885,98,,4A969A4F-6BC3-2571-B343-080C7636608D,72,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,N,Y,"Cliente",,F,NUMBER,5,515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",,10,,
"Logradouro",5130896C-CD8C-69C8-9CDD-33C74AE3135F,99,,6231EC3C-5E26-40C2-DD23-067C2C4FEC58,75,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"Localidade",,,VARCHAR2,4,515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",50,,,
"Modelo_Carro",C2BF47EC-346D-729B-FD8B-903177C66375,100,,0111310C-88AB-D611-0FCE-1C65F0AB24B5,71,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"Carro",,,VARCHAR2,2,515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",10,,,
"Nome_Cliente",9C6F98C5-E759-9BD1-58E5-C2109A4A3718,101,,4A969A4F-6BC3-2571-B343-080C7636608D,72,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"Cliente",,,VARCHAR2,2,515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",60 CHAR,,,
"Nome_Fornecedor",2B2A6336-1B49-A831-0FF5-2BB93B9DED17,102,,FA0B8CA5-C8A8-9312-E928-B2D533FD6A68,74,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"Forncedor",,,VARCHAR2,2,515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",20,,,
"Nome_Vendedor",9DC5C71A-3E9E-F8FC-A6CD-D1A9D5C62707,103,,9DE603ED-0764-A57D-1E2B-0E1A5D16E097,78,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"Vendedor",,,VARCHAR2,2,515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",20,,,
