Logical_Model_ID,Num_Logical_Model_ID,Logical_Model_Name,Logical_Object_ID,Num_Logical_Object_ID,Logical_Object_Name,Relational_Model_ID,Num_Relational_Model_ID,Relational_Model_Name,Relational_Object_ID,Num_Relational_Object_ID,Relational_Object_Name,Entity_Name,Table_Name
DFAF04A5-F875-C094-31C7-AB4E70418D64,0,"Logical",46AE481D-C63C-9C80-7439-7D052CF75B1F,0,"Localidade_ID",515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",A5112313-56B8-2D66-2D8C-0BC8D30F9ED6,97,"Localidade_ID","Localidade","Localidade",
DFAF04A5-F875-C094-31C7-AB4E70418D64,0,"Logical",48DBE08B-1795-DF68-577C-3BCA23CBA156,0,"Peca_ID",515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",21341C78-7F7F-8E2F-AB70-40583A911ADD,104,"Peca_ID","Peças","Peças",
DFAF04A5-F875-C094-31C7-AB4E70418D64,0,"Logical",52E31ED8-F4E1-E3DD-BC02-A4C91BF57153,0,"Forncecimento_ID",515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",FF272DBD-DBCA-585E-378D-4AB45F21BD3B,93,"Forncecimento_ID","Forncecimento","Forncecimento",
DFAF04A5-F875-C094-31C7-AB4E70418D64,0,"Logical",54E92AE0-8A49-5750-130B-5EFC3E086873,0,"Logradouro",515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",5130896C-CD8C-69C8-9CDD-33C74AE3135F,99,"Logradouro","Localidade","Localidade",
DFAF04A5-F875-C094-31C7-AB4E70418D64,0,"Logical",5B24A97C-7558-270D-7591-38205CFB5EF8,0,"Cliente_ID",515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",78C4082F-3AA3-A26D-A483-A8A37C5CCDD0,84,"Cliente_ID","Cliente","Cliente",
DFAF04A5-F875-C094-31C7-AB4E70418D64,0,"Logical",68C43F44-7305-2676-9803-4DF1B8AF62E5,0,"Localidade_ID",515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",BC810474-1AEC-13FB-B4D8-8B887D57B885,98,"Localidade_Localidade_ID","Cliente","Cliente",
DFAF04A5-F875-C094-31C7-AB4E70418D64,0,"Logical",6A1CC373-8F1B-CCBA-C2F4-FF4DBA15E3AC,0,"Carro_ID",515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",CCBBFD58-B09F-9D27-018F-1839F91A02EC,81,"Carro_ID","Carro","Carro",
DFAF04A5-F875-C094-31C7-AB4E70418D64,0,"Logical",6CACCC1F-9699-7657-EC5B-FA9A7F96FD90,0,"Venda_ID",515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",ADEFA542-A294-9F32-F4FC-C3E5E474375A,113,"Venda_ID","Venda","Venda",
DFAF04A5-F875-C094-31C7-AB4E70418D64,0,"Logical",6E123239-9528-D8F9-D4C6-B6024BDB6782,0,"Forncedor PK",515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",45173A3C-4934-19F9-5832-04BEA17D9D38,131,"Forncedor_PK","Forncedor","Forncedor",
DFAF04A5-F875-C094-31C7-AB4E70418D64,0,"Logical",6E578F71-84B5-1F32-363D-E55C6774BC36,0,"Cliente_ID",515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",C3E07FDC-42B5-1E24-7DD3-EE9655661845,83,"Cliente_Cliente_ID","Venda","Venda",
